"data";"ipca_mensal";"selic_meta";"regime";"periodo_plano_real";"regime_tercis_periodo";"regime_kmeans";"ipca_log1p";"regime_kmeans_log1p";"regime_hmm";"prob_hmm_Baixa";"prob_hmm_Moderada";"prob_hmm_Alta";"regime_hmm_log1p";"prob_hmm_log1p_Baixa";"prob_hmm_log1p_Moderada";"prob_hmm_log1p_Alta"
1982-11-01;5,29;NA;"Alta";"Pre-Real";"Baixa";"Baixa";1,83896107071235;"Moderada";"Moderada";6,98526036387245e-22;0,999857993903982;0,000142006096017627;"Moderada";2,12803940353925e-09;0,999993265479923;6,73239203737146e-06
1982-12-01;7,81;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,17588743994809;"Moderada";"Moderada";1,01540061536496e-45;0,999828461175529;0,000171538824471031;"Moderada";3,18748841517706e-12;0,999943081618363;5,69183784495911e-05
1983-01-01;8,64;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,26592110862245;"Moderada";"Moderada";1,09000069387452e-55;0,999797749296298;0,000202250703701544;"Moderada";5,67295685751799e-13;0,999889919012458;0,000110080986974264
1983-02-01;7,86;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,18154676461699;"Moderada";"Moderada";2,7276138112114e-46;0,999825388745199;0,000174611254800743;"Moderada";2,85914839559667e-12;0,999940307072395;5,96929247460373e-05
1983-03-01;7,34;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,12106321637066;"Moderada";"Moderada";1,5362166790888e-40;0,999842164923447;0,000157835076552731;"Moderada";9,14037907744733e-12;0,999961494595215;3,85053956445366e-05
1983-04-01;6,58;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,02551319965428;"Moderada";"Moderada";7,08361587206899e-33;0,999854252671675;0,000145747328325075;"Moderada";5,75769238458259e-11;0,999979637147714;2,03627947089953e-05
1983-05-01;6,48;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,01223279198639;"Moderada";"Moderada";6,20986151358829e-32;0,999843158546671;0,000156841453329201;"Moderada";7,43731530616316e-11;0,999980154743618;1,98451820083581e-05
1983-06-01;9,88;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,3869262414278;"Moderada";"Moderada";1,54317684201136e-72;0,999691718616817;0,000308281383182655;"Moderada";5,61752040089024e-14;0,999700342713631;0,000299657286312859
1983-07-01;10,08;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,40514168131914;"Moderada";"Moderada";1,78415668392206e-75;0,999656442166304;0,000343557833695702;"Moderada";3,96886678152413e-14;0,999644472871512;0,000355527128448468
1983-08-01;9,11;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,31352503303238;"Moderada";"Moderada";8,44596972939449e-62;0,9997255593885;0,000274440611500235;"Moderada";2,28054144379315e-13;0,999818093313708;0,000181906686063658
1983-09-01;10,3;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,42480272571829;"Moderada";"Moderada";8,92148639831091e-79;0,999643278301823;0,000356721698176913;"Moderada";2,72915367074802e-14;0,999595539001194;0,000404460998778814
1983-10-01;8,87;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,28949985344539;"Moderada";"Moderada";1,22769120587439e-58;0,999764169255171;0,000235830744828915;"Moderada";3,61160868250583e-13;0,999858654774308;0,000141345225330414
1983-11-01;7,38;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,12584791449399;"Moderada";"Moderada";5,73670406668234e-41;0,999828534660134;0,000171465339866239;"Moderada";8,33537920884973e-12;0,99995855469477;4,14452968942303e-05
1983-12-01;8,68;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,27006190128849;"Moderada";"Moderada";3,39176706575394e-56;0,999782454654382;0,000217545345617988;"Moderada";5,23969884417213e-13;0,999881856219284;0,000118143780192122
1984-01-01;9,67;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,36743606531366;"Moderada";"Moderada";1,60926730112762e-69;0,999711063884906;0,00028893611509375;"Moderada";8,14776968628257e-14;0,999745213234627;0,000254786765291702
1984-02-01;9,5;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,35137525716348;"Moderada";"Moderada";3,98767066858871e-67;0,999719946048122;0,000280053951878369;"Moderada";1,10701817706364e-13;0,999772955973678;0,000227044026211779
1984-03-01;8,94;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,29656702066848;"Moderada";"Moderada";1,49893831739996e-59;0,999755610210127;0,00024438978987347;"Moderada";3,15491957067163e-13;0,99985023497751;0,00014976502217453
1984-04-01;9,54;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,35517754311322;"Moderada";"Moderada";1,09995162613811e-67;0,999720989125775;0,000279010874224542;"Moderada";1,02959455801692e-13;0,99977029681618;0,000229703183716717
1984-05-01;9,05;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,30757263450508;"Moderada";"Moderada";5,31496878143911e-61;0,999740319889761;0,000259680110239424;"Moderada";2,55584665303565e-13;0,999832602282804;0,000167397716940381
1984-06-01;10,08;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,40514168131914;"Moderada";"Moderada";1,78415591636545e-75;0,9996564239056;0,000343576094400416;"Moderada";3,9690049381988e-14;0,99964701119592;0,000352988804040067
1984-07-01;9,72;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,37211115564266;"Moderada";"Moderada";3,11902895403791e-70;0,999676585682;0,000323414318000211;"Moderada";7,45045949457516e-14;0,999720750688563;0,000279249311362454
1984-08-01;9,35;NA;"Alta";"Pre-Real";"Moderada";"Baixa";2,33698651971138;"Moderada";"Moderada";4,7465479039169e-65;0,999655000091099;0,000344999908901057;"Moderada";1,45548680367748e-13;0,999748357705907;0,000251642293947767
1984-09-01;11,75;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,54553127160444;"Moderada";"Moderada";2,23346855532953e-102;0,999258849649618;0,000741150350381598;"Moderada";2,74659064665925e-15;0,998758888548461;0,00124111145153622
1984-10-01;10,44;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,43711598595165;"Moderada";"Moderada";6,47208771055438e-81;0,999458105538329;0,00054189446167119;"Moderada";2,15518902037159e-14;0,999396128518923;0,000603871481055449
1984-11-01;10,53;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,44495233428097;"Moderada";"Moderada";2,63074654063739e-82;0,999393691565453;0,000606308434547301;"Moderada";1,85559616325545e-14;0,999308555829498;0,000691444170483532
1984-12-01;11,98;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,56340971127594;"Moderada";"Moderada";2,04506141735419e-106;0,99895935592049;0,00104064407951021;"Moderada";1,95352986574912e-15;0,998199834699275;0,00180016530072287
1985-01-01;11,76;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,54631527791664;"Moderada";"Moderada";1,49545527948749e-102;0,999021593516217;0,000978406483783064;"Moderada";2,70135297087473e-15;0,998368665198231;0,00163133480176598
1985-02-01;10,87;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,47401420862158;"Moderada";"Moderada";1,13346887315694e-87;0,999370462466398;0,000629537533601435;"Moderada";1,06772539710735e-14;0,99917557757991;0,000824422420079378
1985-03-01;10,16;NA;"Alta";"Pre-Real";"Moderada";"Moderada";2,41233595695316;"Moderada";"Moderada";1,14678584755463e-76;0,99960423996797;0,000395760032030299;"Moderada";3,45885954822811e-14;0,999591299911256;0,000408700088709088
1985-04-01;8,2;NA;"Alta";"Pre-Real";"Baixa";"Baixa";2,21920348405499;"Moderada";"Moderada";2,83744214081836e-50;0,999792519238802;0,00020748076119856;"Moderada";1,38795026419553e-12;0,999916461791105;8,35382075073583e-05
