"data_origem";"data_destino";"origem";"destino_observado";"Baixa";"Moderada";"Alta"
2011-03-01;2011-04-01;"Alta";"Alta";0,142792296405496;0,302570198247423;0,554637505347082
2011-04-01;2011-05-01;"Alta";"Moderada";0,14753951138945;0,307864747097333;0,544595741513217
2011-05-01;2011-06-01;"Moderada";"Baixa";0,240573064548449;0,508892458563776;0,250534476887775
2011-06-01;2011-07-01;"Baixa";"Baixa";0,609889761427493;0,337363173335895;0,0527470652366125
2011-07-01;2011-08-01;"Baixa";"Moderada";0,599861026803056;0,342672907637197;0,0574660655597471
2011-08-01;2011-09-01;"Moderada";"Moderada";0,378696746227616;0,4220668295584;0,199236424213984
2011-09-01;2011-10-01;"Moderada";"Moderada";0,175823314493745;0,546889083347078;0,277287602159177
2011-10-01;2011-11-01;"Moderada";"Moderada";0,291921467478798;0,477546716488592;0,230531816032609
2011-11-01;2011-12-01;"Moderada";"Moderada";0,186208911395486;0,542166102263084;0,27162498634143
2011-12-01;2012-01-01;"Moderada";"Moderada";0,207688723192217;0,530819205896348;0,261492070911434
2012-01-01;2012-02-01;"Moderada";"Moderada";0,150040550954821;0,563879282986701;0,286080166058478
2012-02-01;2012-03-01;"Moderada";"Baixa";0,26786175694013;0,495592069313783;0,236546173746087
2012-03-01;2012-04-01;"Baixa";"Alta";0,54941188529919;0,362143438566052;0,0884446761347573
2012-04-01;2012-05-01;"Alta";"Moderada";0,154851887954922;0,360933841977211;0,484214270067867
2012-05-01;2012-06-01;"Moderada";"Baixa";0,401045288019629;0,413895400374952;0,185059311605418
2012-06-01;2012-07-01;"Baixa";"Moderada";0,675940520889672;0,295357699643514;0,0287017794668139
2012-07-01;2012-08-01;"Moderada";"Moderada";0,297833360564413;0,481102929495144;0,221063709940444
2012-08-01;2012-09-01;"Moderada";"Moderada";0,326945088424985;0,46359771737606;0,209457194198954
2012-09-01;2012-10-01;"Moderada";"Moderada";0,145396798046021;0,575379596198148;0,279223605755832
2012-10-01;2012-11-01;"Moderada";"Moderada";0,129779868294022;0,584011684194974;0,286208447511004
2012-11-01;2012-12-01;"Moderada";"Alta";0,122741814707814;0,588467178397744;0,288791006894443
2012-12-01;2013-01-01;"Alta";"Alta";0,126684768921314;0,315132844033175;0,558182387045512
2013-01-01;2013-02-01;"Alta";"Moderada";0,118608137979727;0,290239774744445;0,591152087275828
2013-02-01;2013-03-01;"Moderada";"Moderada";0,122741814707814;0,588467178397744;0,288791006894443
2013-03-01;2013-04-01;"Moderada";"Moderada";0,247723011465231;0,515111452672308;0,237165535862461
2013-04-01;2013-05-01;"Moderada";"Moderada";0,162817646972027;0,566102011994531;0,271080341033442
2013-05-01;2013-06-01;"Moderada";"Baixa";0,388180562751156;0,42490072907921;0,186918708169634
2013-06-01;2013-07-01;"Baixa";"Baixa";0,493046209617776;0,373321939982343;0,133631850399881
2013-07-01;2013-08-01;"Baixa";"Baixa";0,71476248602472;0,267071614195961;0,0181658997793187
2013-08-01;2013-09-01;"Baixa";"Moderada";0,51692173019546;0,369183201893914;0,113895067910626
2013-09-01;2013-10-01;"Moderada";"Moderada";0,416942186256679;0,403520613487612;0,179537200255709
2013-10-01;2013-11-01;"Moderada";"Moderada";0,143866039698004;0,572411948277878;0,283722012024118
2013-11-01;2013-12-01;"Moderada";"Alta";0,169378935394578;0,556764463514745;0,273856601090677
2013-12-01;2014-01-01;"Alta";"Moderada";0,12135034694009;0,262235708269617;0,616413944790293
2014-01-01;2014-02-01;"Moderada";"Alta";0,159754306411459;0,560990588022408;0,279255105566133
2014-02-01;2014-03-01;"Alta";"Alta";0,152197342591415;0,340226862348698;0,507575795059887
2014-03-01;2014-04-01;"Alta";"Alta";0,124101275614517;0,260236417605372;0,615662306780111
2014-04-01;2014-05-01;"Alta";"Moderada";0,155815456644524;0,346461761871093;0,497722781484384
2014-05-01;2014-06-01;"Moderada";"Moderada";0,254369709320802;0,502770653876069;0,242859636803128
2014-06-01;2014-07-01;"Moderada";"Baixa";0,33617414969695;0,451882023455327;0,211943826847723
2014-07-01;2014-08-01;"Baixa";"Baixa";0,725553510713046;0,259551640327031;0,0148948489599236
2014-08-01;2014-09-01;"Baixa";"Moderada";0,502469870207012;0,375604119716363;0,121926010076625
2014-09-01;2014-10-01;"Moderada";"Moderada";0,141827125167493;0,568386932380662;0,289785942451845
2014-10-01;2014-11-01;"Moderada";"Moderada";0,307453184212921;0,469952903743668;0,222593912043411
2014-11-01;2014-12-01;"Moderada";"Alta";0,196728794040917;0,536661864646045;0,266609341313038
2014-12-01;2015-01-01;"Alta";"Alta";0,14408489332931;0,306025727447659;0,549889379223031
2015-01-01;2015-02-01;"Alta";"Alta";0,0883860461559181;0,165190013275234;0,746423940568848
2015-02-01;2015-03-01;"Alta";"Alta";0,0920317604787322;0,169382313419004;0,738585926102264
2015-03-01;2015-04-01;"Alta";"Alta";0,0808510101278836;0,145356548486594;0,773792441385522
2015-04-01;2015-05-01;"Alta";"Alta";0,159971647608058;0,325230579041629;0,514797773350313
2015-05-01;2015-06-01;"Alta";"Alta";0,158269789562513;0,313174245080782;0,528555965356704
2015-06-01;2015-07-01;"Alta";"Alta";0,151454642288301;0,296196562878709;0,552348794832989
2015-07-01;2015-08-01;"Alta";"Baixa";0,176803162786611;0,352687016020533;0,470509821192855
2015-08-01;2015-09-01;"Baixa";"Moderada";0,534252072022768;0,371334681760889;0,0944132462163427
2015-09-01;2015-10-01;"Moderada";"Alta";0,163863168561511;0,547945818356316;0,288191013082173
2015-10-01;2015-11-01;"Alta";"Alta";0,151718074995753;0,283053429855915;0,565228495148332
2015-11-01;2015-12-01;"Alta";"Alta";0,125153067691534;0,223320379902058;0,651526552406408
2015-12-01;2016-01-01;"Alta";"Alta";0,132056782621226;0,238417516656078;0,629525700722695
2016-01-01;2016-02-01;"Alta";"Alta";0,0916800786928823;0,153918482065454;0,754401439241664
2016-02-01;2016-03-01;"Alta";"Moderada";0,140447425550742;0,257157939920492;0,602394634528766
2016-03-01;2016-04-01;"Moderada";"Alta";0,288099798831458;0,475137125138388;0,236763076030154
2016-04-01;2016-05-01;"Alta";"Alta";0,180711715278806;0,354158672614075;0,46512961210712
2016-05-01;2016-06-01;"Alta";"Moderada";0,157347387034882;0,296321459944714;0,546331153020404
2016-06-01;2016-07-01;"Moderada";"Moderada";0,406688805847023;0,401125119710809;0,192186074442168
2016-07-01;2016-08-01;"Moderada";"Moderada";0,182743403241749;0,537382333373219;0,279874263385032
2016-08-01;2016-09-01;"Moderada";"Baixa";0,274775917589773;0,483238996280103;0,241985086130125
2016-09-01;2016-10-01;"Baixa";"Baixa";0,669333773010109;0,302661287407746;0,0280049395821457
2016-10-01;2016-11-01;"Baixa";"Baixa";0,487183649502233;0,382874404525956;0,129941945971811
2016-11-01;2016-12-01;"Baixa";"Baixa";0,577712009949608;0,354600752174222;0,0676872378761698
2016-12-01;2017-01-01;"Baixa";"Moderada";0,436865503813455;0,387045743420087;0,176088752766458
2017-01-01;2017-02-01;"Moderada";"Moderada";0,360974890336876;0,430955995541164;0,20806911412196
2017-02-01;2017-03-01;"Moderada";"Baixa";0,441313086368522;0,381057808370507;0,177629105260972
2017-03-01;2017-04-01;"Baixa";"Baixa";0,501258571623598;0,377498892861962;0,12124253551444
2017-04-01;2017-05-01;"Baixa";"Baixa";0,619116615225009;0,332605492281832;0,0482778924931591
2017-05-01;2017-06-01;"Baixa";"Baixa";0,425582148104351;0,38306011249667;0,191357739398979
2017-06-01;2017-07-01;"Baixa";"Baixa";0,853117858505217;0,145397601537851;0,00148453995693189
2017-07-01;2017-08-01;"Baixa";"Baixa";0,515191695174107;0,371803063410331;0,113005241415562
2017-08-01;2017-09-01;"Baixa";"Baixa";0,572494335773106;0,352247606519996;0,0752580577068985
2017-09-01;2017-10-01;"Baixa";"Moderada";0,603254208850146;0,338508024493423;0,0582377666564317
2017-10-01;2017-11-01;"Moderada";"Baixa";0,312205601425848;0,472504834243739;0,215289564330414
2017-11-01;2017-12-01;"Baixa";"Moderada";0,468134389240743;0,375789967892604;0,156075642866653
2017-12-01;2018-01-01;"Moderada";"Baixa";0,285895784500303;0,490695998046262;0,223408217453435
2018-01-01;2018-02-01;"Baixa";"Baixa";0,455514228659902;0,375940614900028;0,16854515644007
2018-02-01;2018-03-01;"Baixa";"Baixa";0,415146018034353;0,375687223534342;0,209166758431305
2018-03-01;2018-04-01;"Baixa";"Baixa";0,669708017700739;0,298630683895478;0,0316612984037836
2018-04-01;2018-05-01;"Baixa";"Moderada";0,542308316970933;0,359929600862927;0,0977620821661399
2018-05-01;2018-06-01;"Moderada";"Alta";0,344269511096266;0,455309750468381;0,200420738435353
2018-06-01;2018-07-01;"Alta";"Moderada";0,0734335024571369;0,168605193760002;0,757961303782861
2018-07-01;2018-08-01;"Moderada";"Baixa";0,45409561939571;0,38300516187067;0,16289921873362
2018-08-01;2018-09-01;"Baixa";"Moderada";0,791386338261817;0,202740855960866;0,00587280577731718
2018-09-01;2018-10-01;"Moderada";"Moderada";0,236753361947122;0,523555724254627;0,239690913798251
2018-10-01;2018-11-01;"Moderada";"Baixa";0,274246185451646;0,500132946143993;0,225620868404361
2018-11-01;2018-12-01;"Baixa";"Baixa";0,847902177842864;0,150267645551338;0,00183017660579776
2018-12-01;2019-01-01;"Baixa";"Baixa";0,616126979332501;0,329829081417225;0,0540439392502741
2019-01-01;2019-02-01;"Baixa";"Moderada";0,415498630973295;0,374888162227979;0,209613206798726
2019-02-01;2019-03-01;"Moderada";"Alta";0,301192565144112;0,483030466107919;0,215776968747968
2019-03-01;2019-04-01;"Alta";"Moderada";0,128332814654682;0,332076724264325;0,539590461080993
2019-04-01;2019-05-01;"Moderada";"Baixa";0,146417955600441;0,577333504492875;0,276248539906684
2019-05-01;2019-06-01;"Baixa";"Baixa";0,634986111465013;0,319676549804144;0,0453373387308427
2019-06-01;2019-07-01;"Baixa";"Baixa";0,730441312720763;0,254389326340717;0,0151693609385205
2019-07-01;2019-08-01;"Baixa";"Baixa";0,575481011647801;0,348332542129693;0,0761864462225061
2019-08-01;2019-09-01;"Baixa";"Baixa";0,653494628152594;0,308477142758558;0,0380282290888481
2019-09-01;2019-10-01;"Baixa";"Baixa";0,76321867985024;0,227294388535408;0,00948693161435252
2019-10-01;2019-11-01;"Baixa";"Moderada";0,662701493229788;0,302461021534108;0,0348374852361042
2019-11-01;2019-12-01;"Moderada";"Alta";0,204905537089402;0,546501745174917;0,248592717735682
2019-12-01;2020-01-01;"Alta";"Baixa";0,0805293947106311;0,201487634079241;0,717982971210128
2020-01-01;2020-02-01;"Baixa";"Baixa";0,555714550012821;0,353438054376162;0,0908473956110176
2020-02-01;2020-03-01;"Baixa";"Baixa";0,508682600947167;0,36580762613798;0,125509772914853
2020-03-01;2020-04-01;"Baixa";"Baixa";0,688761419721366;0,284563032887252;0,0266755473913814
2020-04-01;2020-05-01;"Baixa";"Baixa";0,885721442797501;0,113590563525768;0,000687993676731075
2020-05-01;2020-06-01;"Baixa";"Baixa";0,905945705993375;0,0937118874661772;0,000342406540447979
2020-06-01;2020-07-01;"Baixa";"Moderada";0,497638746064418;0,365742883325968;0,136618370609615
2020-07-01;2020-08-01;"Moderada";"Baixa";0,413795102364639;0,41677723163314;0,169427666002222
2020-08-01;2020-09-01;"Baixa";"Alta";0,523014652641383;0,359884596324038;0,117100751034579
2020-09-01;2020-10-01;"Alta";"Alta";0,122365664163414;0,389146801571318;0,488487534265268
2020-10-01;2020-11-01;"Alta";"Alta";0,100997939591975;0,305047742021195;0,59395431838683
2020-11-01;2020-12-01;"Alta";"Alta";0,0980483612257364;0,294063611283096;0,607888027491168
